id,original_filename,categorie,confidence,metoda_clasificare,processing_status,review_status,companie,material,data_expirare,producator,adresa_producator,extraction_model,extraction_status
3302,Aviz si AT 017-05-4295-2025.pdf,AVIZ_TEHNIC_SI_AGREMENT,0.98,filename+text_agree,completed,OK,VALROM INDUSTRIE SRL,Țevi și fitinguri VALROM din PEID pentru instalații de alimentare cu apă rece și canalizare,24.07.2028,,"B-dul Preciziei nr. 28, sector 6, București, ROMÂNIA",vision:gemini-2.0-flash,success
3303,Aviz-agrement-tehnic-4014-DC-Tevi si fit PEHD Water VLR.pdf,AVIZ_TEHNIC_SI_AGREMENT,0.90,filename_wins,completed,OK,VALROM INDUSTRIE SRL,Conducte și fitinguri din PEID pentru instalații de apă,25.10.2025,,"Bd. Preciziei, nr. 28, sector 6, Bucuresti, ROMANIA",vision:gemini-2.0-flash,success
3304,Certificat ISO 14001 SRAC 2025_2026.pdf,ISO,0.99,filename+text_agree,completed,OK,VALROM INDUSTRIE SRL,,11-2027,,"B-dul. Preciziei, nr. 28, sector 6, București",vision:gemini-2.0-flash,success
3305,Certificat ISO 45001 SRAC 2025_2026.pdf,ISO,0.99,filename+text_agree,completed,OK,VALROM INDUSTRIE SRL,,11.11.2026,,"B-dul. Preciziei, nr. 28, sector 6, București",vision:gemini-2.0-flash,success
3306,Certificat ISO 9001 SRAC 2025_2026.pdf,ISO,0.99,filename+text_agree,completed,OK,VALROM INDUSTRIE SRL,,11.11.2026,,"B-dul. Preciziei, nr. 28, sector 6, București",vision:gemini-2.0-flash,success
3307,Data sheet WaterKIT PE100CERT pipes_vers vers 2.3 02.02.2026.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,VALROM INDUSTRIE SRL,Conducte PE100 CERT din polietilena de inalta densitate pentru apa potabila,28.02.2025,,"Valrom Industrie SRL J1996004810406 ROB529679 2A Preciziei Blvd. 6° District 062206 Bucuresti, Romania",vision:gemini-2.0-flash,success
3308,Fisa tehnica Tevi VALWater PE100RC  vers 3.2 03.02.2026.pdf,FISA_TEHNICA,0.99,filename+text_agree,completed,OK,VALROM INDUSTRIE SRL,Tevi APA POTABILA PE100RC,,,"Valrom Industrie SRL J19/6004/810406, RO8529679 Bd. Prezlrel nr. 28, sector 6 062204 București, Romania",vision:gemini-2.0-flash,success
3309,Fisa tehnica Tevi WaterKIT PE100CERT_vers 2.0 21.05.2025.pdf,FISA_TEHNICA,0.99,filename+text_agree,completed,OK,VALROM INDUSTRIE SRL,"Tevi din polietilena de inalta densitate PEHD <WaterKit> PE100CERT, SR ISO 4427-1 si SR EN 12201-1",,,"Valrom Industrie SRL J1996004810406 RO5829679 Bd.Preciziei nr.28, sector 6 062204 Bucuresti, Romania",vision:gemini-2.0-flash,success
3310,Fisa tehnica Tevi Waterkit PE100RC  vers 3.0 21.05.2025.pdf,FISA_TEHNICA,0.99,filename+text_agree,completed,OK,VALROM INDUSTRIE SRL,Tevi din PE100RC,,,"Valrom Industrie SRL J19/6004/810406, RO8529679 Bd. Predeal nr. 28, sector 6 062296 Bucuresti, Romania",vision:gemini-2.0-flash,success
3311,VLR 004.10_Declaratie de conformitate_Tevi si fit VLR PEHD apa VALWater_24_07_2028.pdf,DECLARATIE_CONFORMITATE,0.98,filename+text_agree,completed,OK,VALROM INDUSTRIE SRL,"Tevi si fitinguri VALROM din PEID pentru instalatii de alimentare cu apa rece, DN 16 ÷ 1200 mm, SDR 5; SDR 6; SDR 7,4; SDR 9; SDR 11; SDR 13,6; SDR 17; SDR 17,6; SDR 21; SDR22; SDR 26; SDR 27,6; SDR 33; SDR 41; SDR 51; din material PE 80; PE 100 sau PE 100 RC",01.10.2025,,"B-dul Preciziei, Nr. 28, Sector 6, Bucuresti, Romania",vision:gemini-2.0-flash,success
3312,1. FT Teava PEHD apa.pdf,FISA_TEHNICA,0.98,filename+text_agree,completed,OK,TERAPLAST SA,"Tevi PE100 pentru APĂ, SR EN 12201-2",,,,vision:gemini-2.0-flash,success
3313,2. ISO 9001.pdf,ISO,0.99,filename+text_agree,completed,OK,TERAPLAST SA,,04.11.2027,,"Calea Teraplast, Nr. 1, Sat Saratel, Comuna Sieu-Magherus, 427301, Jud. Bistrita-Nasaud, Romania",vision:gemini-2.0-flash,success
3314,3. ISO 14001.pdf,ISO,0.99,filename+text_agree,completed,OK,TERAPLAST SA,,04.11.2027,,"Calea Teraplast, Nr. 1, Sat Saratel, Comuna Sieu-Magherus, 427301, Jud. Bistrita-Nasaud, Romania",vision:gemini-2.0-flash,success
3315,4. ISO 45001.pdf,ISO,0.99,filename+text_agree,completed,OK,TERAPLAST SA,,01.12.2027,,"Calea Teraplast, Nr. 1, Sat Saratel, Comuna Sieu-Magherus, 427301, Jud. Bistrita-Nasaud, Romania",vision:gemini-2.0-flash,success
3316,7. AVS.pdf,AVIZ_SANITAR,0.99,filename_regex,completed,OK,TERAPLAST SA,Tevi din PEID pentru instalații de apă,,,"sat Sărățel, comuna Șieu-Măgheruș, DN 15 A, km. 45+500, Cod 427301, jud. Bistrița-Năsăud",vision:gemini-2.0-flash,success
3317,8.1 AVT.pdf,AVIZ_TEHNIC,0.95,filename_wins,completed,OK,TERAPLAST SA,Tevi din PEID pentru instalații de apă,27.09.2026,,"Sat Sărățel, Comuna Sieu-Măgheruș, Calea Teraplast nr.1, județul Bistrița-Năsăud",vision:gemini-2.0-flash,success
3318,9. AGT.pdf,AGREMENT,0.98,filename+text_agree,completed,OK,TERAPLAST SA,"TEVI DIN PEID PENTRU INSTALATII DE APA
HDPE PIPES FOR WATER INSTALLATIONS",27.09.2026,,"Sat Sărățel, com. Sieu-Măgheruș, Calea Teraplast nr. 1 județ Bistrița-Năsăud",vision:gemini-2.0-flash,success
3319,9. CG.pdf,CERTIFICAT_GARANTIE,0.98,filename+text_agree,completed,OK,TERAPLAST SA,"Tevi si Fitinguri PP pentru transport apa, canalizare si drenaj; Tevi si Fitinguri PP pentru telecomunicatii, fibra optica; Tevi corugate si fitinguri din PP si PE pentru canalizare si drenaj; Tevi si Fitinguri PP cu insertie metalica pentru instalatii sanitare, termice, hidraulice, tehnologice,",,,"Sat Sărățel, Comuna Sieu-Magherus, Calea TeraPlast, nr. 1, Jud. Bistrița-Năsăud, 427301",vision:gemini-2.0-flash,success
3320,CC-01740.1 PE typ 2.pdf,DECLARATIE_CONFORMITATE,0.98,filename+text_agree,completed,OK,ICECON CERT,"TEVI ""POLITUB"" MULTISTRAT DIN POLIETILENĂ (strat interior/exterior PE 100RC și strat exterior/interior PE 100), PENTRU ALIMENTARE CU APĂ POTABILĂ",19.02.2029,TERAPLAST SA,"Comuna ȘIEU-MĂGHERUȘ, Sat SĂRĂȚEL, Calea Teraplast nr. 1, jud. BISTRIȚA-NĂSĂUD",vision:gemini-2.0-flash,success
3321,DOC001.pdf,AUTORIZATIE_DISTRIBUTIE,0.85,text_rules,completed,OK,TERAPLAST SA,Materiale pentru piața instalațiilor și construcțiilor,,,"sat. Sărățel, com. Șieu-Măgheruș, Calea Teraplast, nr. 1, jud. Bistrița-Năsăud, România",vision:gemini-2.0-flash,success
3322,11. ISO 9001.pdf,ISO,0.99,filename+text_agree,completed,OK,ZAKPREST CONSTRUCT SRL,,22.02.2027,,"Str. Stânjeneilor, nr. 4, camera nr. 1, bl. 62, sc. 2, et. 1, ap. 61, sector 4, București",vision:gemini-2.0-flash,success
3323,12. ISO 14001.pdf,ISO,0.99,filename+text_agree,completed,OK,ZAKPREST CONSTRUCT SRL,,22.02.2024,,"Str. Stănjenellor, nr. 4, camera nr. 1, bl. 62, sc. 2, et. 1, ap. 61, sector 4, București",vision:gemini-2.0-flash,success
3324,13. ISO 45001.pdf,ISO,0.99,filename+text_agree,completed,OK,ZAKPREST CONSTRUCT SRL,,14.02.2027,,"Str. Stânjeneilor, nr. 4, camera nr. 1, bl. 62, sc. 2, et. 1, ap. 61, sector 4, București",vision:gemini-2.0-flash,success
3325,14. ISO 50001.pdf,ISO,0.99,filename+text_agree,completed,OK,ZAKPREST CONSTRUCT SRL,,03.04.2026,,"Str. Stânjeneilor, nr. 4, camera nr. 1, bl. 62, sc. 2, et. 1, ap. 61, sector 4, București",vision:gemini-2.0-flash,success
3326,15. DC.pdf,DECLARATIE_CONFORMITATE,0.98,filename+text_agree,completed,OK,ZAKPREST CONSTRUCT SRL,Produsele livrate pentru constructii,,,"Str Stinjeneilor, nr 4, Sector 4, Bucuresti",vision:gemini-2.0-flash,success
3327,Agrement tehnic  003 05 1279 2025 Saint Gobain.pdf,AGREMENT,0.98,filename+text_agree,completed,OK,SAINT - GOBAIN PAM Canalisation,"Tuburi și fitinguri din fontă ductilă pentru sisteme de alimentare cu apă, fabricate de SAINT-GOBAIN PAM Canalisation-Franța, cu diametre nominale (DN) cuprinse în domeniul 60 ÷ 2000 mm, conform EN 545:2011, ISO 2531:2009.",24.04.2028,,"21, Avenue Camille Cavallier – BP 129, 54705 PONT-A-MOUSSON CEDEX - Franța",vision:gemini-2.0-flash,success
3328,Autorizatie de distributie - furnizor Petrouzinex - producator Saint Gobain - semnat.pdf,AUTORIZATIE_DISTRIBUTIE,0.98,filename+text_agree,completed,OK,SAINT-GOBAIN,"Țevi și fitinguri, vane, capace și grătare stradale din fontă ductilă",18.02.2026,,"21, avenue Camille Cavallier - BP 129, 54705 PONT-A-MOUSSON Cedex, FRANCE",vision:gemini-2.0-flash,success
3329,Aviz sanitar fitinguri si armaturi.pdf,AVIZ_SANITAR,0.99,filename_regex,completed,OK,,"Fitinguri din fontă ductilă, cu flanșe și/sau mufe gama: NATURAL DN 60-1200 mm, ISOPAM DN 100-300 mm, KLIKSO DN 63-225 mm, KAMELEO DN 80-150 mm, BLUTOP DN 75-160 mm, vane de secționare (vane cu sertar, vane fluture), de branșament, de protecție a rețelei (de aerisire, reglare, siguranță), piese de",,SAINT - GOBAIN PAM CANALISATION,"21 Camille Cavallier, 54705, Pont-à-Mousson, Franța",vision:gemini-2.0-flash,success
3330,Aviz sanitar teava fonta.pdf,AVIZ_SANITAR,0.99,filename_regex,completed,OK,,"Tuburi cu mufă din fontă ductilă gama: NATURAL DN 60-1000 mm, CLASIC DN 700-2000 mm, HYDROCLASS DN 100-1600 mm, STANDARD TTPE DN 80-700mm, STANDARD TT PUX DN 100-600 mm, STANDARD TT ZMU DN 100-700 mm, cu protecție interioară din mortar de ciment tip CEM III/B32,5 N-LH",,SAINT – GOBAIN PAM CANALISATION,"21 Camille Cavallier, 54705, Pont-à-Mousson, Franța",vision:gemini-2.0-flash,success
3331,Aviz tehnic Saint Gobain 003 05 1279 2025.pdf,AVIZ_TEHNIC,0.90,filename_wins,completed,OK,PROCEMA CERCETARE SRL,Tuburi și fitinguri din fontă ductilă pentru sisteme de alimentare cu apă,24.04.2027,SAINT-GOBAIN PAM Canalisation,"54705 PONT-A-MOUSSON CEDEX, Franța",vision:gemini-2.0-flash,success
3332,Certificat ISO 9001_valabil 2029 SEMNAT.pdf,ISO,0.99,filename+text_agree,completed,OK,SAINT GOBAIN PAM CANALISATION,,27.01.2029,,21 AVE CAMILLE CAVALLIER 54705 PONT A MOUSSON CEDEX FRANCE,vision:gemini-2.0-flash,success
3333,Cot 45 cu mufe Standard_PECB.pdf,FISA_TEHNICA,0.70,filename_regex,completed,OK,SAINT-GOBAIN,Cot 45° cu mufe Standard DN60-2000 (PECB),,,SAINT-GOBAIN PAM CANALISATION 4 Quai de Coubervoie - BP 40 54705 PONT-A-MOUSSON Cedex FRANCE,vision:gemini-2.0-flash,partial
3334,Garnitura Standard DN60-2000mm_2024.pdf,FISA_TEHNICA,0.70,filename_regex,completed,OK,SAINT-GOBAIN,Garnitura Standard pentru tevi si fitinguri DN60-2000,,,"Saint-Gobain PAM Canalisation 21, avenue Camille Cavallier - BP 125 - 54705 PONT-A-MOUSSON CEDEX / FRANCE",vision:gemini-2.0-flash,partial
3335,Garnitura STD VI DN 60-700 mm.pdf,FISA_TEHNICA,0.70,filename_regex,completed,OK,SAINT-GOBAIN,Garnitura STD Vi pentru tevi Natural / HP si fitinguri Standard DN60-700,,,,vision:gemini-2.0-flash,partial
3336,ISO 14001 PETROUZINEX - comert + productie - semnat.pdf,ISO,0.99,filename+text_agree,completed,OK,PETROUZINEX SRL,,25.08.2028,,"Bd. General Nicolae Dascalescu, Nr. 261, Loc. Piatra Neamt, Judetul Neamt, România",vision:gemini-2.0-flash,success
3337,ISO 14001 Saint Gobain - semnat.pdf,ISO,0.99,filename+text_agree,completed,OK,,,28.03.2027,,"Usine de Pont à Mousson, 54700 PONT A MOUSSON, France",vision:gemini-2.0-flash,success
3338,ISO 45001 PETROUZINEX - comert + productie - semnat.pdf,ISO,0.99,filename+text_agree,completed,OK,PETROUZINEX SRL,,25.08.2025,,"Bd. General Nicolae Dascalescu, Nr. 261, Loc. Piatra Neamt, Judetul Neamt, România",vision:gemini-2.0-flash,success
3339,ISO 9001 PETROUZINEX - comert + productie - semnat.pdf,ISO,0.99,filename+text_agree,completed,OK,PETROUZINEX SRL,,26.08.2028,,"Bd.General Nicolae Dascalescu, Nr. 261, Loc. Piatra Neamt, Judetul Neamt, România",vision:gemini-2.0-flash,success
3340,MODEL - declaratie de conformitate si certificat de garantie   - semnat.pdf,DECLARATIE_CONFORMITATE,0.98,filename+text_agree,completed,OK,PETROUZINEX SRL,,,,"Piatra-Neamt, Str. Bulevardul General Nicolae Dascalescu 261, Judetul: Neamt",vision:gemini-2.0-flash,success
3341,Teava NATURAL_Bioz Standard DN 60-1000_2024_REV1.pdf,FISA_TEHNICA,0.70,filename_regex,completed,OK,SAINT-GOBAIN,Teava NATURAL BioZinalium DN60 - 1000 cu mufa STANDARD,,,"21, avenue Camille Cavallier - BP 125 - 54705 PONT-A-MOUSSON CEDEX | FRANCE",vision:gemini-2.0-flash,partial
3342,Catalog teava fara sudura producator LUZHENG - semnat.pdf,FISA_TEHNICA,0.98,filename+text_agree,completed,OK,"SHANDONG LUXING STEEL PIPE CO., LTD",Teava de otel,,,"Add: Luxing Road, Qingdao City, Shandong Province, P.R. China",vision:gemini-2.0-flash,success
3343,Certificat CE PED 2014-68-EU teava fara sudura producator LUZHENG - semnat.pdf,CE,0.95,filename_regex,completed,OK,,Seamless pipes in ferritic steels,26.04.2026,,"No. 13-14, C District, Zhongrui Iron and steel Logistic Park, Qingzhou City Weifang City, Shandong Province, 262500 P. R. China",vision:gemini-2.0-flash,success
3344,ISO 14001 PETROUZINEX - comert + productie - semnat.pdf,ISO,0.99,filename+text_agree,completed,OK,PETROUZINEX SRL,,25.08.2028,,"Bd. General Nicolae Dascalescu, Nr. 261, Loc. Piatra Neamt, Judetul Neamt, România",vision:gemini-2.0-flash,success
3345,ISO 45001 PETROUZINEX - comert + productie - semnat.pdf,ISO,0.99,filename+text_agree,completed,OK,QSCert,,25.08.2025,,,vision:gemini-2.0-flash,success
3346,ISO 9001 PETROUZINEX - comert + productie - semnat.pdf,ISO,0.99,filename+text_agree,completed,OK,PETROUZINEX SRL,,26.08.2028,,"Bd.General Nicolae Dascalescu, Nr.261, Loc. Piatra Neamt, Judetul Neamt, România",vision:gemini-2.0-flash,success
3347,ISO 9001 WEIFANG.pdf,ISO,0.99,filename+text_agree,completed,OK,"WEIFANG LUZHENG INDUSTRY AND TRADE CO.,LTD.",,12.12.2028,,"Nr. 13-14, C District, Zhongrui Iron and Steel Logistic Park, Qingzhou City, Weifang / 262500, Provincia Shandong, R.P. China",vision:gemini-2.0-flash,success
3348,MODEL - Declaratie de Conformitate si Certificat de Garantie semnat.pdf,DECLARATIE_CONFORMITATE,0.95,filename_regex,completed,OK,PETROUZINEX SRL,,,,"Piatra-Neamt, Str.Bulevardul General Nicolae Dascalescu, Nr.261",vision:gemini-2.0-flash,success
3349,Model certificat 3.1.pdf,CERTIFICAT_CALITATE,0.95,ai,completed,OK,PETROZINEX,"teava trasa 168,3x4mm",29.05.2025,,"North of East Section West of Yuhua Road, Weifang City, Shandong Province, P.R.CHINA",vision:gemini-2.0-flash,success
3350,2. Licenta.pdf,CERTIFICAT_CALITATE,0.95,ai,completed,OK,AEROQ SA,"Tuburi si accesorii din beton simplu, beton slab armat, beton armat-tuburi Ø 500, Ø 600, Ø 800, Ø 1000, Ø 1250, Ø 1500, Ø 2000, reductie tronconica Ø 1000/Ø 800mm; Ø 800/ Ø 600mm si gura de scurgere DN 500 mm, camine de vizitare si camine de racord din beton simplu, beton slab armat, beton armat.",,PRECON SRL,"Soseaua Giurgiului, nr.5, Jilava, Jud. Ilfov",vision:gemini-2.0-flash,success
3351,3. Declaratie de conformitate.pdf,DECLARATIE_CONFORMITATE,0.95,filename_regex,completed,OK,PRECON,"Tuburi si accesorii din beton simplu Ø500-Ø1500, reductie tronconica Ø1000/Ø800, gura scurgere DN 500mm, camine de vizitare si camine de racord sau inspectie din beton simplu conform SR EN 1916:2003, SR EN 1916/AC:2008, SR EN 1917:2003, SR EN 1917/AC:2008",,,"Șos. Giurgiului nr. 5, Județul Ilfov, cod poștal 077120, Jilava",vision:gemini-2.0-flash,success
3352,4. Certificat de garantie.pdf,CERTIFICAT_GARANTIE,0.90,filename_regex,completed,OK,PRECON SRL,,,,"Comuna Jilava, Șos. Giurgiului nr. 5, Județul Ilfov, cod poștal 077120",vision:gemini-2.0-flash,success
3353,5. Instructiuni de manipulare si montaj.pdf,ALTELE,0.95,ai,completed,OK,PRECON,Tuburi din beton și cămine de vizitare,,,,vision:gemini-2.0-flash,success
3354,"CERTIFICAT DE CONFORMITATE tuburi,camine circulare si rectangulare 2028.pdf",DECLARATIE_CONFORMITATE,0.98,filename+text_agree,completed,OK,AEROQ SA,"TUBURI SI ACCESORII DIN BETON SIMPLU, BETON SLAB ARMAT - TUBURI Ø 500, Ø 600, Ø 800, Ø 1000, Ø 1250, Ø 1500, Ø 2000; REDUCTIE TRONCONICA Ø 1000/ Ø 800mm; Ø 800/ Ø 600mm si gura de scurgere DN 500 mm; CAMINE DE VIZITARE SI CAMINE DE RACORD DIN BETON SIMPLU, BETON SLAB ARMAT (CIRCULARE SAU",28.09.2025,,"Strada Feleacu, nr. 14 B, Sector 1, Bucuresti, România",vision:gemini-2.0-flash,success
3355,Certificate SIM 2028.pdf,ISO,0.99,text_rules,completed,OK,PRECON SRL,,07.04.2028,,"România, Comuna Jilava, Șoseaua Giurgiului, nr. 5, Județul Ilfov",vision:gemini-2.0-flash,success
3356,CERTIFICATE IRD BOMA DE SISTEM VIZA 2025.pdf,ISO,0.83,text_rules,completed,OK,BOMA PREFABRICATE SRL,,13.09.2028,,"Str. Iederii, Nr. 2, Alba Iulia, Jud. Alba",vision:gemini-2.0-flash,success
3357,CERTIFICATE IRD Bomade PRODUS  viza 2025.pdf,DECLARATIE_CONFORMITATE,0.85,text_rules,completed,OK,IRD CERTIFICARE,"PRODUSE PREFABRICATE DIN BETON, CAMINE DE VANE (CONFORM PROIECT UNIC PRODUS)
BAZINE CILINDRICE PENTRU STATII DE POMPARE (CONFORM PROIECT UNIC PRODUS)",13.09.2027,BOMA PREFABRICATE SRL,"Alba Iulia, str. Iederii, Nr. 2, Jud. Alba",vision:gemini-2.0-flash,success
3358,fisa tehnica Elemente pentru camine 1000 mm-INELE.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,BOMA PREFABRICATE,"Inele pentru cămine, dimensiuni: 1240/1000/250 / 120, 1240/1000/500 / 120, 1240/1000/750 / 120, 1240/1000/1000 / 120",,,"S.C. BOMA PREFABRICATE S.R.L., Adresă: Platforma Industrială Fosta Grup, Sat Sârbești, Com. Tîrgușorul Vechi, DN1A KM62+200, Jud. Prahova",vision:gemini-2.0-flash,success
3359,Aviz tehnic si Agrement tehnic _Boma.pdf,AGREMENT,0.99,filename+text_agree,completed,OK,BOMA PREFABRICATE SRL,Elementelor prefabricate din beton vibro-presat,29.01.2028,,"Localitatea Strejnicu, DN 1A, km 62+200, județul Prahova",vision:gemini-2.0-flash,success
3360,CERT BOMA SISTEM RC 2025.pdf,ISO,0.83,text_rules,completed,OK,BOMA PREFABRICATE SRL,,13.09.2028,,"Str. Iederii, Nr. 2, Alba Iulia, Jud. Alba",vision:gemini-2.0-flash,success
3361,DC-Placa+capac.pdf,DECLARATIE_PERFORMANTA,0.97,text_rules,completed,OK,BOMA PREFABRICATE,"Elemente pentru camine din beton, placi de acoperire din beton armat: rama rectangulara cu capac de fonta",,,"Platforma Industrială Florea Grup, Sat Strejnicu, Com. Tîrgșorul Vechi, DNI A KM62+200, Jud. Prahova",vision:gemini-2.0-flash,success
3362,DP - Inel D1000x1000.pdf,DECLARATIE_PERFORMANTA,0.99,filename+text_agree,completed,OK,BOMA PREFABRICATE,"Elemente pentru cămine din beton simplu, inel pentru cămin, dimensiuni 1000/1000/120, SR EN 1917:2003",,,"Platforma Industrială Florea Grup, Sat Strejnicu, Com. Tîrgșorul Vechi, DNI A KM62+200, Jud. Prahova",vision:gemini-2.0-flash,success
3363,DP-Inel D1000x250.pdf,DECLARATIE_PERFORMANTA,0.99,filename+text_agree,completed,OK,BOMA PREFABRICATE,"Elemente pentru cămine din beton simplu, inel pentru cămin, dimensiuni 1000/250/120 mm, SR EN 1917:2003; SR EN 1917:2003/AC:2008",,,"Platforma Industrială Florea Grup, Sat Strejnicu, Com. Tîrgșorul Vechi, DN1 A KM62+200, Jud. Prahova",vision:gemini-2.0-flash,success
3364,DP-Inel D1000x500.pdf,DECLARATIE_PERFORMANTA,0.99,filename+text_agree,completed,OK,BOMA PREFABRICATE,"Elemente pentru cămine din beton simplu, inel pentru cămin, dimensiuni 1000/500/120",,,"Platforma Industrială Florea Grup, Sat Strejnicu, Com. Tîrgșorul Vechi, DN1 A KM62+200, Jud. Prahova",vision:gemini-2.0-flash,success
3365,DP-Inel D1000x750.pdf,DECLARATIE_PERFORMANTA,0.99,filename+text_agree,completed,OK,BOMA PREFABRICATE,"Elemente pentru cămine din beton simplu, inel pentru cămin, dimensiuni 1000/750/120 mm, SR EN 1917:2003; SR EN 1917:2003/AC:2008",,,"Platforma Industrială Florea Grup, Sat Strejnicu, Com. Tîrgșorul Vechi, DNI A KM62+200, Jud. Prahova",vision:gemini-2.0-flash,success
3366,Fise tehnice si declaratii de performanta _Boma.pdf,DECLARATIE_PERFORMANTA,0.95,text_rules,completed,OK,BOMA PREFABRICATE,"Inele de aducere la cota (suprainaltare) 865 / 625 / 50 / 120, 865 / 625 / 100 / 120, 865 / 625 / 150 / 120",,,"S.C. BOMA PREFABRICATE S.R.L.
Adresă: Platforma Industrială Florea Grup, Sat Strejnicu, Com. Tîrgșorul Vechi, DN1 A KM62+200, Jud. Prahova",vision:gemini-2.0-flash,success
3367,FT-Inel D1000x1000.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,BOMA PREFABRICATE,Inele pentru cămine,,,"S.C. BOMA PREFABRICATE S.R.L., Platforma Industrială Fosta Grup, Sat Strajnicu, Com. Tîrgușoru Vechi, DN1A KM62+200, Jud. Prahova, 40 244 704 342",vision:gemini-2.0-flash,success
